12,1315,74
"PInf_Ireland"
"Ind","Pop","D13","","","Pi4B","","","PiG11","","","Pi04","","","Pi63","","","Pi70","","","SSR2","","","SSR3","","","SSR4","","","SSR6","","","SSR8","","","SSR11","",""
"76_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
"77_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"78_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"79_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,294,244,244,0,260,266,0,341,355,0
"80_2016","100_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"81_2016","0_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"82_2016","0_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"83_2016","0_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"84_2016","0_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"85_2016","0_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"86_2016","0_8A1_2016",122,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"87_2016","0_8A1_2016",122,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"88_2016","0_13A2_2016",136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"89_2016","50_13A2_2016",136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,292,294,240,244,0,260,266,0,341,341,0
"90_2016","50_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"91_2016","50_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"92_2016","50_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"93_2016","50_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"94_2016","50_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"95_2016","50_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"96_2016","50_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"97_2016","IR_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"98_2016","IR_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"99_2016","IR_8A1_2016",122,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"100_2016","IR_8A1_2016",118,136,0,205,217,221,162,162,0,166,170,0,273,279,0,192,192,0,173,175,0,262,268,0,288,294,0,242,244,0,260,266,0,331,341,0
"101_2016","50_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
"102_2016","50_8A1-1_2016",118,136,0,205,217,0,166,166,0,166,170,0,273,279,0,192,192,0,173,175,0,268,268,0,288,294,0,242,244,0,260,266,0,331,341,0
"103_2016","50_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
"104_2016","50_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"105_2016","IR_8A1_2016",118,138,0,205,213,0,164,164,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"106_2016","IR_8A1_2016",118,136,0,205,217,221,162,162,0,166,170,0,273,279,0,192,192,0,173,175,0,262,268,0,288,294,0,242,244,0,260,266,0,331,341,0
"107_2016","IR_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"108_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
"109_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"110_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"111_2016","IR_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"112_2016","IR_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"113_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,266,268,0,288,294,298,242,244,0,260,266,0,331,341,0
"114_2016","IR_8A1_2016",118,136,0,205,213,0,164,164,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"115_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
"116_2016","IR_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,266,268,0,288,294,298,242,244,0,260,266,0,331,341,0
"117_2016","100_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"118_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"119_2016","100_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"120_2016","100_13A2_2016",136,154,0,205,213,0,154,166,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"121_2016","100_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"122_2016","100_8A1_2016",118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"123_2016","100_8A1-1_2016",118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
"124_2016","50_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"125_2016","50_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"126_2016","50_13A2_2016",136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"127_2016","50_13A2_2016",136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"128_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"129_2016","IR_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"130_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"131_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"132_2016","100_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"133_2016","100_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"134_2016","100_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"135_2016","100_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"136_2016","100_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"137_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"138_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"139_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"140_2016","IR_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"141_2016","0_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"142_2016","0_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"143_2016","0_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"144_2016","0_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"145_2016","0_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"146_2016","0_13A2_2016",136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"147_2016","100_13A2_2016",136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"148_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"149_2016","100_6A1_2016",0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
"150_2016","100_13A2_2016",136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"151_2016","50_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"152_2016","50_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"153_2016","50_13A2_2016",136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"154_2016","50_13A2_2016",136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"155_2016","100_13A2_2016",136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
"156_2016","100_13A2_2016",136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
